:START_ID,:END_ID,weight:int,:TYPE
NED,ROBERT,192,SEASON1
DAENERYS,JORAH,154,SEASON1
JON,SAM,121,SEASON1
LITTLEFINGER,NED,107,SEASON1
NED,VARYS,96,SEASON1
DAENERYS,DROGO,91,SEASON1
ARYA,NED,90,SEASON1
CATELYN,ROBB,90,SEASON1
BRONN,TYRION,86,SEASON1
CERSEI,NED,86,SEASON1
CERSEI,ROBERT,80,SEASON1
LITTLEFINGER,VARYS,73,SEASON1
SHAE,TYRION,73,SEASON1
CATELYN,NED,69,SEASON1
JOFFREY,SANSA,69,SEASON1
NED,PYCELLE,68,SEASON1
DAENERYS,VISERYS,66,SEASON1
SANSA,SEPTA_MORDANE,64,SEASON1
TYRION,TYWIN,61,SEASON1
JEOR,JON,60,SEASON1
ROBB,THEON,60,SEASON1
CERSEI,JOFFREY,54,SEASON1
ARYA,SANSA,53,SEASON1
BRAN,MAESTER_LUWIN,53,SEASON1
JAIME,NED,53,SEASON1
NED,SANSA,49,SEASON1
BRAN,ROBB,48,SEASON1
LORAS,RENLY,47,SEASON1
CERSEI,JAIME,46,SEASON1
DAENERYS,MIRRI_MAZ_DUUR,45,SEASON1
JON,TYRION,45,SEASON1
ARYA,SYRIO_FOREL,44,SEASON1
JORY_CASSEL,NED,44,SEASON1
JORAH,VISERYS,43,SEASON1
JON,PYP,42,SEASON1
CATELYN,TYRION,41,SEASON1
ROS,THEON,40,SEASON1
JOFFREY,NED,39,SEASON1
CERSEI,SANSA,36,SEASON1
GRENN,PYP,36,SEASON1
CATELYN,WALDER,34,SEASON1
DAENERYS,DOREAH,34,SEASON1
JAIME,TYRION,34,SEASON1
JAIME,TYWIN,34,SEASON1
BENJEN,JON,33,SEASON1
DAENERYS,IRRI,32,SEASON1
GREATJON_UMBER,ROBB,31,SEASON1
MORD,TYRION,31,SEASON1
CATELYN,LYSA,30,SEASON1
DOREAH,VISERYS,30,SEASON1
JORAH,RAKHARO,30,SEASON1
LYSA,ROBIN,30,SEASON1
LYSA,TYRION,30,SEASON1
NED,RENLY,30,SEASON1
PYP,SAM,30,SEASON1
RENLY,ROBERT,30,SEASON1
BRAN,NED,29,SEASON1
BRAN,OSHA,29,SEASON1
JON,NED,29,SEASON1
BRAN,CATELYN,28,SEASON1
CATELYN,JAIME,28,SEASON1
CATELYN,RODRIK,28,SEASON1
DAENERYS,QOTHO,28,SEASON1
JOFFREY,ROBERT,28,SEASON1
JON,MAESTER_AEMON,28,SEASON1
DROGO,VISERYS,27,SEASON1
JAIME,JORY_CASSEL,27,SEASON1
BRAN,THEON,26,SEASON1
CATELYN,LITTLEFINGER,26,SEASON1
CATELYN,MAESTER_LUWIN,26,SEASON1
BARRISTAN,NED,25,SEASON1
ILLYRIO,VISERYS,25,SEASON1
JON,ROBB,25,SEASON1
OSHA,THEON,25,SEASON1
ARYA,JOFFREY,24,SEASON1
GRENN,JON,24,SEASON1
NED,ROBB,23,SEASON1
BARRISTAN,ROBERT,22,SEASON1
CATELYN,CERSEI,22,SEASON1
LITTLEFINGER,SANSA,22,SEASON1
SHAGGA,TYRION,22,SEASON1
TYRION,YOREN,22,SEASON1
ALLISER_THORNE,JON,20,SEASON1
ARYA,JON,20,SEASON1
DROGO,JORAH,20,SEASON1
JAIME,ROBERT,20,SEASON1
BRAN,JON,19,SEASON1
DAENERYS,WINE_MERCHANT,19,SEASON1
HOUND,SANSA,19,SEASON1
LITTLEFINGER,PYCELLE,19,SEASON1
LITTLEFINGER,ROS,19,SEASON1
THEON,TYRION,19,SEASON1
ALLISER_THORNE,SAM,18,SEASON1
ARYA,YOREN,18,SEASON1
CERSEI,TYRION,18,SEASON1
BENJEN,TYRION,17,SEASON1
DAENERYS,RAKHARO,17,SEASON1
JEOR,SAM,17,SEASON1
LITTLEFINGER,RENLY,17,SEASON1
MAESTER_LUWIN,ROBB,17,SEASON1
ROBERT,SANSA,17,SEASON1
ROS,TYRION,17,SEASON1
CATELYN,THEON,16,SEASON1
GRENN,SAM,16,SEASON1
HOUND,JOFFREY,16,SEASON1
ROBB,TYRION,16,SEASON1
BRAN,TYRION,15,SEASON1
CATELYN,ROBERT,15,SEASON1
JEOR,TYRION,15,SEASON1
JOFFREY,TYRION,15,SEASON1
JOFFREY,VARYS,15,SEASON1
LANCEL,ROBERT,15,SEASON1
MIRRI_MAZ_DUUR,QOTHO,15,SEASON1
NED,YOREN,15,SEASON1
PYCELLE,VARYS,15,SEASON1
BENJEN,NED,14,SEASON1
BRAN,RICKON,14,SEASON1
CATELYN,JON,14,SEASON1
CATELYN,SANSA,14,SEASON1
JOFFREY,MARILLION,14,SEASON1
KEVAN,TYRION,14,SEASON1
LITTLEFINGER,ROBERT,14,SEASON1
BARRISTAN,CERSEI,13,SEASON1
CATELYN,VARDIS_EGEN,13,SEASON1
CERSEI,VARYS,13,SEASON1
DAENERYS,RHAEGO,13,SEASON1
JANOS,NED,13,SEASON1
JOFFREY,PYCELLE,13,SEASON1
MAESTER_LUWIN,THEON,13,SEASON1
NED,THEON,13,SEASON1
PYCELLE,SANSA,13,SEASON1
GENDRY,NED,12,SEASON1
HOT_PIE,LOMMY_GREENHANDS,12,SEASON1
JOFFREY,LITTLEFINGER,12,SEASON1
JOFFREY,MERYN_TRANT,12,SEASON1
JOFFREY,ROBB,12,SEASON1
JON_ARRYN,NED,12,SEASON1
KEVAN,TYWIN,12,SEASON1
MAESTER_LUWIN,OSHA,12,SEASON1
ARYA,SEPTA_MORDANE,11,SEASON1
BRAN,HODOR,11,SEASON1
BRONN,SHAE,11,SEASON1
CATELYN,GREATJON_UMBER,11,SEASON1
CATELYN,VARYS,11,SEASON1
