Id:ID,name,:LABEL
ADDAM_MARBRAND,Addam,Character
AEGON,Aegon,Character
AERYS,Aerys,Character
ALLISER_THORNE,Allister,Character
ARYA,Arya,Character
ASSASSIN,Assassin,Character
BAELOR,Baelor,Character
BALON,Balon,Character
BARRISTAN,Barristan,Character
BENJEN,Benjen,Character
BERIC,Beric,Character
BORCAS,Borcas,Character
BOWEN_MARSH,Bowen,Character
BRAN,Bran,Character
BRANDON_STARK,Brandon,Character
BRONN,Bronn,Character
CATELYN,Catelyn,Character
CERSEI,Cersei,Character
COHOLLO,Cohollo,Character
DAENERYS,Daenerys,Character
DAREON,Dareon,Character
DOREAH,Doreah,Character
DROGO,Drogo,Character
GALBART_GLOVER,Galbart,Character
GARED,Gared,Character
GENDRY,Gendry,Character
GREATJON_UMBER,Greatjon,Character
GRENN,Grenn,Character
HIGH_SEPTON,High Septon,Character
HODOR,Hodor,Character
HOSTER,Hoster,Character
HOT_PIE,Hot Pie,Character
HOUND,Sandor,Character
HUGH_OF_THE_VALE,Hugh of the Vale,Character
ILLYRIO,Illyrio,Character
ILYN_PAYNE,Ilyn,Character
IROGENIA,Irogenia,Character
IRRI,Irri,Character
JAIME,Jaime,Character
JANOS,Janos,Character
JAREMY_RYKKER,Jaremy,Character
JEOR,Jeor,Character
JHIQUI,Jhiqui,Character
JOANNA,Joanna,Character
JOFFREY,Joffrey,Character
JON,Jon,Character
JON_ARRYN,Jon Arryn,Character
JONOS_BRACKEN,Jonos,Character
JORAH,Jorah,Character
JORY_CASSEL,Jory,Character
JOYEUSE,Joyeuse,Character
KEVAN,Kevan,Character
LANCEL,Lancel,Character
LEO_LEFFORD,Leo,Character
LITTLE_BIRD,Little Bird,Character
LITTLEFINGER,Petyr,Character
LOMMY_GREENHANDS,Lommy,Character
LORAS,Loras,Character
LUKE,Luke,Character
LYANNA,Lyanna,Character
LYSA,Lysa,Character
MACE,Mac,Character
MAESTER_AEMON,Aemon,Character
MAESTER_LUWIN,Luwin,Character
MAGO,Mago,Character
MARILLION,Marillion,Character
MASHA_HEDDLE,Masha,Character
MELESSA,Melessa,Character
MERYN_TRANT,Meryn,Character
MHAEGEN,Mhaegen,Character
MIRRI_MAZ_DUUR,Mirri Maz Dur,Character
MORD,Mord,Character
MOUNTAIN,Gregor,Character
MYCAH,Mycah,Character
MYRCELLA,Myrcella,Character
NED,Ned,Character
OLD_NAN,Old Nan,Character
OSHA,Osha,Character
OTHELL_YARWYCK,Othell,Character
OTHOR,Othor,Character
PYCELLE,Pycelle,Character
PYP,Pyp,Character
QOTHO,Qotho,Character
RAKHARO,Rakharo,Character
RANDYLL,Randyll,Character
RAST,Rast,Character
RENLY,Renly,Character
RHAEGAR,Rhaegar,Character
RHAEGO,Rhaego,Character
RICKARD_KARSTARK,Rickard Karstark,Character
RICKARD_STARK,Rickard Stark,Character
RICKON,Rickon,Character
ROBB,Robb,Character
ROBERT,Robert,Character
ROBIN,Robin,Character
RODRIK,Rodrik,Character
ROOSE_BOLTON,Roose,Character
ROS,Ros,Character
ROYCE,Royce,Character
RYGER_RIVERS,Ryger,Character
SAM,Sam,Character
SANSA,Sansa,Character
SEPTA_MORDANE,Septa Mordane,Character
SHAE,Shae,Character
SHAGGA,Shagga,Character
STABLE_BOY,Stable Boy,Character
STANNIS,Stannis,Character
STEFFON,Steffon,Character
STEVRON_FREY,Stevron,Character
SYRIO_FOREL,Syrio,Character
THEON,Theon,Character
TOBHO_MOTT,Tobho Mott,Character
TOMARD,Tomard,Character
TOMMEN,Tommen,Character
TYRION,Tyrion,Character
TYSHA,Tysha,Character
TYWIN,Tywin,Character
VARDIS_EGEN,Vardis,Character
VARLY,Varly,Character
VARYS,Varys,Character
VISERYS,Viserys,Character
WALDER,Walder,Character
WAYMAR_ROYCE,Waymar,Character
WILL,Will,Character
WINE_MERCHANT,Wine Merchant,Character
YOREN,Yoren,Character
